BuilderCompany;BuilderCompanyCode;BuilderObjectRu;BuildFinishDate;PDChangesBuildFinishDate
ООО Интер Альянс;RDM_3395004813;Ленинградская область, Ломоносовский район, МО «Виллозское сельское поселение», пос. Новогорелово, уч. 9, кадастровый номер земельного участка 47:14:0603001:4877;;
ООО СЗ ГРАНДНЭКСТ;RDM_1319235527;г. Москва, ул. Лосиноостровская, вл. 45, корпус 1;30.06.2021 0:00:00;30.06.2023 0:00:00
ООО ТПУ Ховрино;RDM_0063995529;"г. Москва, САО, район Ховрино, в границах ТПУ ""Ховрино"", ул. Дыбенко, вл.1 корп.4";30.06.2020 0:00:00;30.06.2021 0:00:00
АО ЮИТ Санкт-Петербург;1747;Санкт-Петербург, Приморский район, улица Студенческая, д. 24, литера А, 5 этап строительства;31.03.2024 0:00:00;30.09.2022 0:00:00
ООО ЕВРОИНВЕСТ ДЕВЕЛОПМЕНТ;RDM_3469283493;"Ленинградская область, Всеволожский район, САОЗТ ""Ручьи"", корпус 2, кадастровый номер з/у 47:07:0722001:537";31.03.2021 0:00:00;
ООО Мосдорстрой;RDM_1545708964;г. Калининград, ул. Согласия, жилой дом № 3 по ГП, кадастровый неомер з/у 39:15:130710:4757;30.09.2022 0:00:00;
ООО ПИОНЕР-ДЕВЕЛОПМЕНТ;RDM_0730345460;г. Москва, проспект Андропова, вл. 10;30.06.2021 0:00:00;31.12.2021 0:00:00
ООО СЗ ИНВЕСТТОРГ 6-1;RDM_1093714356;Ленинградская область, Всеволожский р-он, деревня Кудрово, уч. 2 (квартал 6, участок 6-1), 1-й этап;31.12.2020 0:00:00;31.03.2022 0:00:00
АО ЮИТ Санкт-Петербург;1747;Санкт-Петербург, Приморский район, улица Студенческая, д. 24, литера А, 4 этап строительства;30.09.2023 0:00:00;31.12.2021 0:00:00
ООО ЛЕГЕНДА КОМЕНДАНТСКОГО;RDM_3509079276;г. СанктПетербург, Комендантский пр., уч. 89 (юговосточнее дома 7, корп. 1, лит. А по НижнеКаменской ул.), кадастровый номер 78:34:0004281:11911;31.12.2019 0:00:00;31.12.2020 0:00:00
ООО ЭМСИ ИСТЕЙТ ИНВЕСТМЕНТ;RDM_3358680800;Санкт-Петербург, Московский проспект, участок 108, (у дома 83, литера Ю);31.03.2021 0:00:00;
ООО Специализированный застройщик Ламбри;RDM_2296482659;г.Санкт-Петербург, улица Барочная, кадастровый номер земельного участка 78:07:0003201:2295, кор.7;31.12.2021 0:00:00;
ООО ЛЕГЕНДА ИНВЕСТ;RDM_1454039553;г. СанктПетербург, Петергофское шоссе, участок 101, (севернее пересечения с улицей Пограничника Гарькавого, квартал 31-1), Этап строительства I, кадастровый номер 78:40:0008339:4665;31.12.2019 0:00:00;31.12.2021 0:00:00
ООО Малахит;RDM_3167912402;Москва, Береговой проезд, вл. 3;30.03.2020 0:00:00;31.12.2020 0:00:00
ООО Информационные технологии и телекоммуникации;;Санкт-Петербург, Большой Сампсониевский проспект,корпус 1;;
АО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КСМ;01096;"г. Петрозаводск, микрорайон № 7 жилого района ""Древлянка - II"", жилой дом № 36,  кадастровый номер земельного участка 10:01:0120124:5977";30.09.2020 0:00:00;
ООО ОНЕГОСТРОЙСЕРВИС;RDM_1296075675;Республика Карелия, г. Петрозаводск, пересечение проспектов Карельского и Комсомольского, кадастровый номер №10:01:0160102:81, дом №18 (III этап строительства);30.06.2021 0:00:00;31.03.2023 0:00:00
ООО Сэтл Сити;1755;Санкт-Петербург, 1-й Предпортовый проезд, дом 11, литера А, корпус 2;30.09.2020 0:00:00;30.09.2020 0:00:00
ООО Инвестстройзаказчик;00931;г. Череповец, ул. К.Белова, мкр.23, кадастровый номер 35:21:0203014:6197;31.12.2019 0:00:00;31.12.2024 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК 44 СПЕЦИАЛИЗИРОВАННОЕ СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ;RDM_2716220054;"Республика Карелия, г. Петрозаводск, район пересечения проспектов Карельского и Комсомольского, блок ""В"", микрорайон № 1 жилого района ""Кукковка III"" 2 этап, жилой дом №6 (ГП)";31.12.2020 0:00:00;
ООО ЛСР. Недвижимость-Северо-Запад;1855;\nСанкт-Петербург, Орлово-Денисовский проспект, участок 14\n(юго-восточнее пересечения с Суздальским шоссе), 1 этап, кор.14.4\n;31.12.2021 0:00:00;
ООО ПСМ-Классик;04815;Санкт-Петербург, Будапештская улица, участок 1 (севернее дома 6, литера А по Будапештской улице);01.12.2018 0:00:00;
АО ЮИТ Санкт-Петербург;1747;Санкт-Петербург,  Суздальское шоссе, участок 12 (юго-западнее пересечения Суздальского шоссе с Выборгским направлением ж.д.), этап строительства 1.6.3, кадастровый номер земельного участка 78:34:0004270:3219;30.06.2020 0:00:00;30.09.2020 0:00:00
ООО МУЗЕЙ ТЕХНИКИ;RDM_1666047941;Санкт-Петербург, Лиговский проспект, дом 271, литера А;31.12.2019 0:00:00;30.06.2020 0:00:00
ООО Инвестстройзаказчик;00931;г. Череповец, ул. К.Белова, мкр.23, кадастровый номер 35:21:0203014:6197;31.12.2019 0:00:00;31.12.2024 0:00:00
ООО Максима;04474;"Ленинградская область, Всеволожский район, земли САОЗТ ""Ручьи"" , кадастровый номер 47:07:0722001:382 ,корп. 8";30.09.2022 0:00:00;30.06.2021 0:00:00
ООО БАЛТИНВЕСТГРУПП;04222;г. Санкт-Петербург, Октябрьская наб., участок 1, 2, (восточнее дома 112 кор. 6 лит. Б по Октябрьской набережной), кор.7;01.12.2018 0:00:00;31.12.2020 0:00:00
ООО ЛСР. Недвижимость-Северо-Запад;1855;г. Санкт-Петербург, пр.Космонавтов, участок 2  (юго-восточнее пересечения со Свирской ул.);30.09.2020 0:00:00;31.12.2020 0:00:00
ООО Городская Перспектива;RDM_1568471999;г. Санкт-Петербург, Красногвардейский переулок, кор. 2;30.09.2021 0:00:00;
ООО ЛСР. Недвижимость-Северо-Запад;1855;г. Санкт-Петербург, Басков переулок, участок 5 (на пересечении Баскова переулка и улицы Короленко);01.12.2017 0:00:00;
ООО НеваСтрой;RDM_3795665201;г. Санкт-Петербург, ул. Невзоровой, кадастр. 78:12:0713001:366;30.09.2020 0:00:00;31.12.2020 0:00:00
ООО Нью Хаус;RDM_1932074034;Санкт-Петербург, 24 линия В.О., дом 25, литера И;30.09.2020 0:00:00;
ООО ЛСР. Недвижимость-Северо-Запад;1855;г.Санкт-Петербург, Октябрьская набережная, дом 40, корпус 2, литера Г2, Участок 7 (по ППТ),  5 этап строительства, корпус 1;01.06.2019 0:00:00;31.12.2019 0:00:00
ООО Строительная компания Каменка;00951;Санкт-Петербург,  Комендантский пр., участок 2 (юго-восточнее пересечения с рекой Каменкой), корпус 2;;
ООО Отделстрой;1750;Ленинградская область, Всеволожский район, д. Кудрово, микрорайон «Новый Оккервиль»,\nстроительная позиция 10 (ЛОТ 10);09.11.2018 0:00:00;
ООО АЛЬБАТРОС;RDM_2002533369;Санкт-Петербург,  Пригородный, участок 197 (Каменка),  этап 1, кадастровый номер земельного участка: 78:34:0004281:92;30.06.2019 0:00:00;31.12.2019 0:00:00
ООО ЛСР. Недвижимость-Северо-Запад;1855;г.Санкт-Петербург, Южное шоссе, участок 6 (восточнее дома 49, литера Ф по Южному шоссе), 2 этап строительства, корпус 25 (жилой дом).;01.12.2017 0:00:00;
ООО ПСМ-Классик;04815;Санкт-Петербург, Будапештская улица, участок 1 (севернее дома 6, литера А по Будапештской улице);01.12.2018 0:00:00;
ЗАО Балтийская Жемчужина;1749;г. Санкт-Петербург, Петергофское шоссе, участок 11 (севернее пересечения с ул. Пограничника Гарькавого, квартал 39-6), кор. 3;01.06.2019 0:00:00;
ООО Тин Групп;00881;Ленинградская область, Всеволожский район, кадастровый номер земельного участка 47:07:1044001:28042;01.06.2020 0:00:00;30.09.2020 0:00:00
ООО Карелия Девелопмент;RDM_2286025891;Ленинградская область, Всеволожский район, уч. Мистолово, жилой дом 4-5;31.12.2019 0:00:00;
ООО Остров Сити;01539;г.Санкт-Петербург, 25-я линия В.О., дом 8, литера Б, I этап строительства;01.03.2023 0:00:00;
ООО ЛСР. Недвижимость-Северо-Запад;1855;Санкт-Петербург, Октябрьская набережная, дом 40, корпус 2, литера Г2, Участок 5 (по ППТ) 1 этап строительства,  корпус 1 ;01.06.2020 0:00:00;31.12.2019 0:00:00
ООО ЛЕГЕНДА КОМЕНДАНТСКОГО;RDM_3509079276;г. СанктПетербург, Комендантский пр., уч. 85 (северовосточнее дома 7, корп. 1, лит. А по НижнеКаменской ул.);01.09.2018 0:00:00;
ООО Строительная компания Каменка;00951;г. Санкт-Петербург, Комендантский проспект, участок 1, (юго-западнее пересечения с рекой Каменкой),кадастровый номер  земельного участка  78:34:0004281:11941;;
ООО Альфа (ИНН 2312233660);RDM_1048477267;Краснодарский край, город Краснодар, Карасунский внутригородской округ,  улица Войсковая, 4, литер 2;30.03.2019 0:00:00;30.09.2019 0:00:00
ООО ЛСР. Недвижимость-Северо-Запад;1855;г.Санкт-Петербург, Ленинский проспект, участок 2 (северо-западнее пересечения ул.Доблести и ул.Маршала Захарова), 1-ый этап строительства, жилой дом (блок А, В, Д);01.05.2018 0:00:00;
ООО Балтпродком;04814;г. Санкт-Петербург, Петергофское шоссе, дом 76, корпус 29, литера  А;30.06.2020 0:00:00;30.09.2020 0:00:00
ООО КВС-Сертолово;00799;Ленинградская обл., Всеволожский район, г. Сертолово, микрорайон Сертолово-2, ул. Мира, участок 11, кор.22;31.12.2018 0:00:00;
ООО Стоительная компания Навис;04951;"Ленинградская область, Всеволожский муниципальный район, земли ЗАО ""Щеглово"", 47:07:0957004:256, Д 3";30.06.2017 0:00:00;06.05.2023 0:00:00
ООО ИНВЕСТКАПИТАЛ (ИНН 7813353502);04224;"Ленинградская область, Всеволожский р-н, земли САОЗТ ""Ручьи"", кор.3";01.06.2020 0:00:00;30.09.2020 0:00:00
ООО ЛСР. Недвижимость-Северо-Запад;1855;г. Санкт-Петербург, Пригородный, участок 406, корпус 406.3;31.12.2019 0:00:00;
ООО Главстрой-СПб;06138;г. Санкт-Петербург, 3-я Конная Лахта, участок 1, (северо-восточнее дома 45, лит.Д по 3-ей Конной Лахте), кор.4;30.12.2018 0:00:00;
ООО Главстрой-СПб;06138;г. Санкт-Петербург, 3-я Конная Лахта, участок 1, (северо-восточнее дома 45, лит.Д по 3-ей Конной Лахте), кор.1;30.12.2018 0:00:00;
ООО ЛСТ Проджект;;г. Санкт-Петербург, г. Колпино, Понтонная ул., участок 10, (западнее дома 12, литера А по Понтонной улице), корпус-10;;
ООО СТРОЙКОМАВТОТРАНС;01664;Республика Коми, город Сыктывкар, ул. Тентюковская, Этап 4-Жилой дом №4;30.03.2019 0:00:00;
ООО Главстрой-СПб;;г. Санкт-Петербург, пос. Парголово, пр. Энгельса, участок 20, (северо-западнее пересечения  с 4-м Верхним переулком (20-1)), кор.20;;
ООО Финансово-Строительная корпорация Лидер Северо-Запад;00781;г. Санкт-Петербург, посёлок Шушары, Московское шоссе,  участок 81 (Центральный), корпус 1;;
ООО Строительная компания Каменка;;Санкт-Петербург,  Комендантский пр., участок 1 (юго-западнее пересечения с рекой Каменкой), кадастровый номер земельного участка: 78:34:0004281:11939;;
ЗАО ПРОФСЕРВИС;05183;г. Санкт-Петербург, Орлово-Денисовский пр., участок 6 (юго-восточнее пересечения с Суздальским пр.), 1-ый этап строительства, корп. 3А, корп. 4А;01.09.2019 0:00:00;30.09.2019 0:00:00
ООО Евростройпроект;460;Санкт-Петербург, Усть-Славянка, Советский проспект, д.32, литера А;01.03.2018 0:00:00;
ООО Городские Кварталы;RDM_1914261989;г. Санкт-Петербург, Пулковское шоссе, дом 30, лит.В, участок 3, корпус 2;31.12.2019 0:00:00;
ООО Строительная компания Каменка;;Санкт-Петербург,  Комендантский пр., участок 1 (юго-западнее пересечения с рекой Каменкой), кадастровый номер земельного участка: 78:34:0004281:11939;;
ООО Бонава Санкт-Петербург;2057;г.Санкт-Петербург, ул. Магнитогорская, дом 11, 1 этап строительства, секции D1, D2, A1;;
ООО БАЛТИНВЕСТСТРОЙ;04649;Санкт-Петербург, улица Типанова, 25, Литера А;01.06.2018 0:00:00;
ООО КВС Девелопмент;00857;Ленинградская область, Всеволожский район, участок Янино-1, корпус 2.2;01.09.2018 0:00:00;
ООО Созидание;1931;Ленинградская область, Всеволожский район, САОЗТ «Ручьи», кадастровый номер земельного участка: 47:07:0722001:527;01.02.2019 0:00:00;
ООО Арсенал Групп;04559;Ленинградская область, Всеволожский муниципальный район, сельское поселение Бугровское, поселок Бугры, 47:07:0713003:973;;
ООО КВС-Юг;01139;г. Санкт-Петербург, Пулковское шоссе, участок 10, (северо-западнее дома 38, корпус 4, литера Т по Пулковскому шоссе);01.12.2019 0:00:00;
ООО ЛСР. Недвижимость-Северо-Запад;1855;г. Санкт-Петербург, территория предприятия «Ручьи», участок 8, XIII этап, кор.206.2;01.12.2018 0:00:00;
ООО ЛСР. Недвижимость-Северо-Запад;1855;г.Санкт-Петербург, Ленинский проспект, участок 2 (северо-западнее пересечения ул.Доблести и ул.Маршала Захарова), 1-ый этап строительства, жилой дом (блок А, В, Д);01.05.2018 0:00:00;
ООО Главстрой-СПб;;г. Санкт-Петербург, пос. Парголово, пр. Энгельса, участок 20, (северо-западнее пересечения  с 4-м Верхним переулком (20-1)), кор.10;;
ООО ЛСР. Недвижимость-Северо-Запад;1855;г. Санкт-Петербург, Октябрьская набережная, дом 40, корпус 2, литера Г2, 3 этап строительства, корпус 1 (секции 1, 2, 3, 4, 5, 6) ;01.11.2019 0:00:00;
АО Эталон ЛенСпецСМУ;461;г.Санкт-Петербург, ул.Уральская, дом 4, лит.А  ;;
ООО Главстрой-СПб;06138;г. Санкт-Петербург, пос. Парголово, пр. Энгельса, участок 20, (северо-западнее пересечения  с 4-м Верхним переулком (20-1)), кор.9;;
ООО ЛСР. Недвижимость-Северо-Запад;1855;г.Санкт-Петербург, Октябрьская набережная, дом 40, корпус 2, литера Г2, Участок 7 (по ППТ) 6 этап строительства, корпус 2;01.06.2019 0:00:00;30.09.2019 0:00:00
ООО Строительная компания Каменка;;Санкт-Петербург,  Комендантский пр., участок 2 (юго-восточнее пересечения с рекой Каменкой), корпус 1;;
ООО Петербургская инвестиционная фирма Пионер;06026;г. Санкт-Петербург, ул. Новолитовская,  кор.1.1 (этап 1);30.09.2020 0:00:00;
ООО Созидание;1931;Ленинградская область, Всеволожский район, САОЗТ «Ручьи», кадастровый номер земельного участка: 47:07:0722001:527;01.02.2019 0:00:00;
АО ЮИТ Санкт-Петербург;1747;Санкт-Петербург,  город Пушкин, Гуммолосары, уч. 83;30.11.2018 0:00:00;30.09.2019 0:00:00
АО ЮИТ Санкт-Петербург;1747;Санкт-Петербург,  город Пушкин, Гуммолосары, уч. 83;30.11.2018 0:00:00;30.09.2019 0:00:00
ЗАО Развитие территорий Петербургская Недвижимость;;Ленинградская область, Всеволожский р-н, массив Кудрово, участок 2, жилой дом 11/1;;
ООО Бонава Санкт-Петербург;2057;г.Санкт-Петербург, ул. Магнитогорская, дом 11, 1 этап строительства, секции D1, D2, A1;;
ЛСР. Недвижимость-Северо-Запад, ООО (!Застройщик!);;г. Санкт-Петербург, пр. Маршала Блюхера, дом 12, лит. АШ, кор. 4;;
ООО Потенциал (!Застройщик!);;г. Санкт-Петербург, проспект Энергетиков, дом 9, лит. Ж, кор.4;;
ООО Бонава Санкт-Петербург (!Застройщик!);;г.Санкт-Петербург, ул. Магнитогорская, дом 11, 1 этап строительства, секции D1, D2, A1;;
Сэтл Инвест, ООО (!Застройщик!);474;"г. Санкт-Петербург, территория предприятия ""Предпортовый"", уч. 3.3. (Ленинские искры) корпус 2";;
ООО ОптимаГрупп;04710;город Санкт-Петербург, проспект Народного Ополчения, дом 149, литера А, корп. 1.3;01.06.2017 0:00:00;
ЗАО РСТИ;04651;город Санкт-Петербург, Усть-Славянка , Заводская улица дом 15, литера К ( Секция 3 жилого дома 1);30.09.2019 0:00:00;
АО Строительная корпорация Возрождение Санкт Петербурга;;г. Санкт-Петербург, проспект Медиков, д.10, литера Ж, корпус 12;;
ООО Финансово-Строительная корпорация Лидер Северо-Запад;00781;Ленинградская область, Всеволожский муниципальный район, Бугровское сельское поселение, посёлок Бугры, микрорайон Южный, строительная позиция № 3, дом № 4;;
ООО КВС-Сертолово;00799;Ленинградская обл., Всеволожский район, г. Сертолово, микрорайон Сертолово-2, ул. Мира, участок 11, кор.25;31.12.2018 0:00:00;
ЮИТ Санкт-Петербург, АО (!Застройщик!);1747;г. Санкт-Петербург, Суздальское шоссе, участок 12 (юго-западнее пересечения Суздальского шоссе с Выборгским направлением ж.д.) дом 1.5.2.;01.11.2018 0:00:00;
ООО Тин Групп;00881;Ленинградская область, Всеволожский район, массив Кудрово, участок 2 (квартал 4,  уч. 4-7);;
Развитие территорий Петербургская недвижимость, ЗАО (!Застройщик!);1934;Ленинградская область, Всеволожский р-н, массив Кудрово, участок 2, жилой дом № 13/1;;
Созидание, ООО (!Застройщик!);;Ленинградская область, Всеволожский район, земли САОЗТ «Ручьи», на земельном участке с кадастровым номером: 47:07:0722001:535, корпус 3;;
ООО Тин Групп;00881;Ленинградская область, Всеволожский район, массив Кудрово, участок 2 (квартал 4,  уч. 4-7);;
Строительная компания Каменка, ООО (!Застройщик!) ;00951;г.Санкт-Петербург, Комендантский проспект, уч.2 (юго-восточнее пересечения с рекой Каменкой) ;;
ЛСР. Недвижимость-Северо-Запад, ООО (!Застройщик!);;"Санкт-Петербург, территория предприятия  ""Ручьи"", участок 8, 1 этап строительства , корпус №198.1";;
ЛСР. Недвижимость-Северо-Запад, ООО (!Застройщик!);;г. Санкт-Петербург, пр. Маршала Блюхера, дом 12, лит. АШ, кор. 1;;
Развитие территорий Петербургская недвижимость, ЗАО (!Застройщик!);1934; Ленинградская область, Всеволожский р-н, массив Кудрово, участок 2 (жилой комплекс «Кудрово», 14 пусковой комплекс), дом 14/1;;
ЛСР. Недвижимость-Северо-Запад, ООО (!Застройщик!);;г.Санкт-Петербург, Ленинский проспект, участок 9 (северо-западнее пересечения ул.Доблести и ул.Маршала Захарова), жилой дом секции 1-15;;
ЗАО СЕВЕРНЫЙ ГОРОД;03989;г. Санкт-Петербург, Пригородный , участок 305 (Каменка), 1-ый этап строительства, кор.4;01.06.2018 0:00:00;
ООО САМОЛЕТ ЛО;03996;Ленинградская область, Всеволожский муниципальный район, Бугровское сельское поселение, поселок Бугры, земельный участок с кадастровым номером 47:07:0713003:990;;
ООО СОЗВЕЗДИЕ;04229;"Ленинградская область, Всеволожский район, МО ""Романовское сельское поселение"", жилой дом Д2";01.09.2017 0:00:00;31.12.2023 0:00:00
Потенциал, ООО (!Застройщик!);;г. Санкт-Петербург, проспект Энергетиков, дом 9, лит. Ж, кор.3;;
Строительная компания Каменка, ООО (!Застройщик!) ;;г. Санкт-Петербург, Комендантский проспект, участок 1, (юго-западнее пересечения с рекой Каменкой);;
ООО ПЕТРОЦЕНТР;RDM_2270481140;г. Санкт-Петербург, набережная реки Карповки, дом 27, литера А, кадастровый  номер  земельного  участка  78:07:0003125:2;31.12.2022 0:00:00;30.06.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ПАРК ПОБЕДЫ;RDM_1319290105;Краснодарский край, г. Краснодар, ул. им. Героя Пешкова, 14, литер 4 ;31.03.2023 0:00:00;
ООО ЭМСИ ИСТЕЙТ ИНВЕСТМЕНТ;RDM_3358680800;Санкт-Петербург, Московский проспект, участок 108, (у дома 83, литера Ю);31.03.2021 0:00:00;
ООО ЦДС-Волковский;RDM_0668538058;г. Санкт-Петербург, Волковский пр., дом 6, лит. Ж;30.09.2021 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГЛОРИЯ;RDM_2545069204;Калининградская область, г. о. Город Калининград, г. Калининград, ул. Понартская, д.3, кадастровый номер 39:15:142025:1806, дом №8;31.12.2021 0:00:00;
ЗАО СЕВЕРНЫЙ ГОРОД;03989;г. Санкт-Петербург, Пригородный, участок 307 (Каменка), 2 этап строительства, кадастровый номер земельного участка 78:34:0004281:17050, кор.5;30.06.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГАРДИЕН;RDM_2488479279;г. Санкт-Петербург, ул. Малая Зеленина, д. 8, лит. А;31.12.2022 0:00:00;
 ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГОРКОМСТРОЙ;RDM_1245952618;Республика Коми, г. Сыктывкар, ул. Интернациональная, дом №2, кадастровый номер земельного участка: 11:05:0106016:258;31.12.2022 0:00:00;
ООО Специализированный застройщик СтройТолк;RDM_3201845292;Республика Коми, г. Сыктывкар, м. Давпон, дом 2 на земельном участке с кадастровым номером 11:05:0105024:1822;31.12.2021 0:00:00;
ООО СТРЕЛКА;RDM_2572399968;г. Санкт-Петербург, поселок Стрельна, Красносельское шоссе, участок 46, кадастровый номер земельного участка 78:40:0019185:22;31.12.2021 0:00:00;30.06.2022 0:00:00
АО ЮИТ Санкт-Петербург;1747;Санкт-Петербург, Приморский район, улица Студенческая, д. 24, литера А, 5 этап строительства;31.03.2024 0:00:00;30.09.2022 0:00:00
АО СтройИнвест;RDM_2414712536;Калининградская область, г. Калининград, улица Новгородская, дом №5,  кадастр. № з/у 39:15:110633:23;31.03.2022 0:00:00;
ООО Петра-8 ;RDM_3783675749;г. Санкт-Петербург, Пулковское шоссе, участок 4 (южнее дома 30, литера Ж по Пулковскому шоссе),  3-й этап строительства, кадастровый номер земельного участка: 78:14:0007691:171;30.06.2021 0:00:00;31.03.2022 0:00:00
ООО СТАТУС ЭР;RDM_3333849415;Санкт-Петербург, улица Лодейнопольская, кадастровый номер земельного участка 78:07:0003163:2629;30.06.2020 0:00:00;30.06.2023 0:00:00
ООО ЦДС-Волковский;RDM_0668538058;г. Санкт-Петербург, Волковский пр., дом 6, лит. Ж;30.09.2021 0:00:00;
ООО КВС-Выборгский;RDM_2951929112;г. Санкт-Петербург, пос. Парголово, Пригородный участок 439 (восточнее дома 162, литера А по проспекту Энгельса), корпус Е;28.01.2021 0:00:00;30.09.2023 0:00:00
ООО Специализированный Застройщик Доннефтестрой-Юг;RDM_1931224925;Россия, Ростовская область, г. Ростов-на-Дону, район Ленинский, ул.  Мечникова, 41/53;31.03.2023 0:00:00;
ООО Специализированный застройщик Догма;RDM_1723698742;Краснодарский край, г. Новороссийск, в районе старого аэропорта, дом литер 1 (БС А)( БС В) (БС Б), второй этап строительства, кадастровый номер земельного участка 23:47:0000000:6740;30.06.2024 0:00:00;
ООО СТРОЙИНЖИНИРИНГ;RDM_1960503536;Краснодарский край, г. Краснодар, Карасунский внутригородской округ, МКР №4 Почтовый жилой район, ул. Снесарева,  дом 10, литер 3;30.06.2021 0:00:00;
АБАК-ЮГ;;Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Западный обход, 39/2, литер 8 (БС3, БС4);;
ООО СК КВАРТАЛ;04716;Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Тепличная, 62/1, литер 4, 4 этап строительства;31.12.2022 0:00:00;
ООО Специализированный Застройщик КРАСНОДАРДОМСТРОЙ;RDM_0603910133;Российская Федерация, Краснодарский край, город Краснодар, Прикубанский внутригородской округ, проезд 1-й Лиговский, ЛИТЕР 4, Этап 4;30.06.2022 0:00:00;30.09.2022 0:00:00
ООО Специализированный застройщик Нефтестройиндустрия-ЮГ;1772;Российская Федерация, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ ул.Стахановская,1/5 Литер 3;30.06.2023 0:00:00;
ООО СЗ Новосфера;05190;Краснодарский край, г. Краснодар, р-н Прикубанский, литер 16, этап 4, кадастровый номер земельного участка 23:43:0124041:3965;31.12.2022 0:00:00;30.06.2023 0:00:00
ООО СЗ Новосфера;05190;Краснодарский край, г. Краснодар, р-н Прикубанский, литер 16, этап 4, кадастровый номер земельного участка 23:43:0124041:3965;31.12.2022 0:00:00;30.06.2023 0:00:00
ООО Специализированный Застройщик КРАСНОДАРДОМСТРОЙ;RDM_0603910133;Российская Федерации, Краснодарский край, город Краснодар, Прикубанский внутригородской округ, проезд 1-й Лиговский, ЛИТЕР 8, ЭТАП 8;31.12.2022 0:00:00;30.06.2023 0:00:00
ООО СЗ КСГ-ИНВЕСТ;RDM_3315493207;"Российская Федерация, Краснодарский край, г. Краснодар, ул. им. 40-летия Победы, квартал № 6.2, жилой дом литер ""29""";31.03.2022 0:00:00;
ООО СЗ Новосфера;05190;Краснодарский край, г. Краснодар, р-н Прикубанский, литер 15, этап 3, кадастровый номер земельного участка 23:43:0124041:3965;30.12.2022 0:00:00;30.06.2023 0:00:00
ООО Специализированный застройщик Догма;RDM_1723698742;Краснодарский край, г. Новороссийск, в районе старого аэропорта, дом литер 1 (БС А)( БС В) (БС Б), второй этап строительства, кадастровый номер земельного участка 23:47:0000000:6740;30.06.2024 0:00:00;
ООО СЗ Новосфера;05190;Краснодарский край, г. Краснодар, р-н Прикубанский, литер 16, этап 4, кадастровый номер земельного участка 23:43:0124041:3965;31.12.2022 0:00:00;30.06.2023 0:00:00
ООО Специализированный застройщик Аврора 2;RDM_4188963764;Российская Федерация, Краснодарский край, г. Новороссийск, ул. Мысхакское шоссе, номер литера по проектной документации – 2 (2 этап строительства);30.06.2022 0:00:00;
ООО СЗ Новосфера;05190;Краснодарский край, г. Краснодар, р-н Прикубанский, литер 15, этап 3, кадастровый номер земельного участка 23:43:0124041:3965;30.12.2022 0:00:00;30.06.2023 0:00:00
ООО СЗ Новосфера;05190;Краснодарский край, г. Краснодар, р-н Прикубанский, литер 17, этап 5, кадастровый номер земельного участка 23:43:0124041:3965;31.12.2022 0:00:00;30.06.2023 0:00:00
ООО СЗ РОМЕКС ДЕВЕЛОПМЕНТ ПАРК;RDM_1601587147;Российская Федерация, Краснодарский край, город Краснодар, ул. им. Александра Покрышкина, Прикубанский внутригородской округ,  литер 11;31.03.2023 0:00:00;
ООО Семья;04975;г. Краснодар, Прикубанский внутригородской округ, ул. Красных Партизан,  1/4, Литер 20;31.12.2021 0:00:00;31.03.2022 0:00:00
ООО СЗ НОВОГРАД-ЮГ;RDM_3733320399; Российская Федерация, Краснодарский край, г. Новороссийск, ул. Куникова, 47А, жилой дом литер 1;31.12.2022 0:00:00;31.03.2023 0:00:00
ООО Специализированный застройщик Вита Строй Девелопмент;RDM_2408656475;Российская Федерация, Краснодарский край, г. Новороссийск, с.  Цемдолина, ул. Красина, литер 4;30.06.2021 0:00:00;31.12.2022 0:00:00
ООО Алькасар;RDM_2100022553;Российская Федерация, Краснодарский край, г. Краснодар,  ул. им. краеведа Соловьева В.А., 6,  Литер 2;30.09.2022 0:00:00;
ООО Специализированный застройщик АСК 6;RDM_1301378962;Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Питерская, д. 40, литер 4;31.12.2023 0:00:00;
ООО Специализированный застройщик АСК 6;RDM_1301378962;Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Питерская, д. 40, литер 6;31.12.2023 0:00:00;
ООО РЕГИОН-СТРОЙ (0107022575);RDM_2624586301;Республика Адыгея, Тахтамукайский район, а. Новая Адыгея, ул. Береговая, 1, 3, 1 этап, Литер 3;31.03.2021 0:00:00;
ООО СЗ РОМЕКС ДЕВЕЛОПМЕНТ ПАРК;RDM_1601587147;Российская Федерация, Краснодарский край, город Краснодар, ул. им. Александра Покрышкина, Прикубанский внутригородской округ,  литер 11;31.03.2023 0:00:00;
