BuilderCompany;BuilderCompanyCode;BuilderObjectRu;BuildFinishDate;PDChangesBuildFinishDate
ООО Кубань-Строй;RDM_3228865031;Краснодарский край, г. Анапа, ул. Адмирала Пустошкина, 22, Микрорайон № 2. Жилой комплекс №1, Литер 10, (IX) этап;30.09.2022 0:00:00;
ООО СЗ ТАЛИСМАН ДМК;RDM_3661090939;г. Москва, Дмитровское шоссе, владение 71, корп.2, стр. 1-6;30.06.2021 0:00:00;31.12.2021 0:00:00
АО ЦЕНТР-ИНВЕСТ;06173;г. Москва, ЦАО, район Красносельский, ул. Большая Спасская, вл. 35-37 ;31.12.2021 0:00:00;31.12.2022 0:00:00
ООО Специализированный застройщик Град Пехотная ;RDM_3430152778;Москва, СЗАО, Щукино, пер. 1-й Пехотный, вл. 2 корпус 2;31.12.2021 0:00:00;
АО МОСОТДЕЛСТРОЙ № 1;RDM_0230260727;г. Москва, ЮАО, ул. 6-я Радиальная, вл. 7, корпус 27;;31.05.2023 0:00:00
ООО Альфа (ИНН 2312233660);RDM_1048477267;Российская Федерация, Краснодарский край, г. Краснодар, район п. Знаменский и п. Зеленопольский, литер 1;31.03.2023 0:00:00;
ООО Альфа (ИНН 2312233660);RDM_1048477267;Российская Федерация, Краснодарский край, г. Краснодар, район п. Знаменский и п. Зеленопольский, литер 5;31.03.2023 0:00:00;
ООО СЗ ЖК-БАЛТИЙСКИЙ-2;RDM_0385878896;РФ, Тульская область, Ленинский район, поселок Петровский, Жилой дом поз. 12.1, Этап 12.1, кадастровый номер земельного участка 71:14:040401:2378;31.12.2022 0:00:00;
ООО Лексион Девелопмент;RDM_1794679677;г.Москва, п. Московский, д. Румянцево, вл.17Е, Дом Д-3;03.07.2023 0:00:00;31.12.2022 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РЕЗИДЕНС;RDM_2109048741;г. Москва, ул. Летная, влд. 95Б, Блок 10-С,Е, корпус 6;30.09.2022 0:00:00;30.06.2023 0:00:00
ООО Альфа (ИНН 2312233660);RDM_1048477267;Российская Федерация, Краснодарский край, г. Краснодар, район п. Знаменский и п. Зеленопольский, литер 1;31.03.2023 0:00:00;
ООО СЗ ЛЕГИС;RDM_2840698720;Российская Федерация, Краснодарский край, Анапский район, ЗАО АФ Кавказ, с. Сукко, ул. Мирная, д. 9. Этап 2 – позиция 5А.  Кадастровый номер 23:37:1006000:4856;31.03.2023 0:00:00;30.06.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ПАРК ПОБЕДЫ;RDM_1319290105;Краснодарский край, г. Краснодар, ул. им. Героя Пешкова, 14, литер 4 ;31.03.2023 0:00:00;
АО БАЛАНС - СПЕЦЗАСТРОЙЩИК;RDM_3962451040;г.Москва, Рязанский проспект, вл.26, з/у 1, корпус 1;30.09.2021 0:00:00;30.06.2022 0:00:00
АО Лобачевского 120;RDM_0370813470;г. Москва, ЗАО, район Раменки, ул. Лобачевского, вл.120, корпус 2;31.12.2021 0:00:00;31.12.2021 0:00:00
ООО Лексион Девелопмент;RDM_1794679677;г.Москва, п. Московский, д. Румянцево, вл.17Е, Дом Д-3;03.07.2023 0:00:00;31.12.2022 0:00:00
ООО Эссет Менеджмент;RDM_2140150364;город Москва, ЦАО, район Басманный, площадь Курского вокзала, земельный участок 77:01:0003002:1504;31.12.2021 0:00:00;30.09.2023 0:00:00
ООО ФЕНИКССТРОЙ;RDM_3962843802;г. Москва, ЦАО, район Красносельский, пересечение проспекта Академика Сахарова и Садовой-Спасской улицы, кадастровый номер земельного участка 77:01:0003041:1 ;30.06.2022 0:00:00;30.09.2023 0:00:00
ООО Велесстрой;RDM_0902162268;г. Москва, ЗАО, район Фили-Давыдково, улица Кастанаевская, вл.68 (з/уч с кадастровым номером 77:07:0005003:87, з/уч с кадастровым номером 77:07:0005003:50);31.12.2020 0:00:00;30.09.2021 0:00:00
ООО ЮгСтройИмпериал;04133;Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. Сормовская, 1/12, литер 2;30.06.2021 0:00:00;30.06.2022 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РЕЗИДЕНС;RDM_2109048741;г. Москва, ул. Летная, влд. 95Б, Блок 10-B, корп. 1, корпус 1.1;30.09.2021 0:00:00;31.12.2021 0:00:00
ООО СЗ СТРОЙ-РЕСУРС;RDM_2788059739;Московская область, городской округ Красногорск, вблизи п. Светлые Горы, жилой дом поз. 18, кадастровый номер 50:11:0020218:1217;31.03.2023 0:00:00;
ООО Специализированный застройщик СПАРТАК;RDM_3705631394;г. Москва, ЮЗАО, Ясенево, Новоясеневский пр., вл.3;31.12.2021 0:00:00;31.03.2023 0:00:00
ООО МЕГАПОЛИС ГРУП;RDM_2013285603;г. Москва, ЦАО, район Пресненский, Краснопресненская наб., вл.14, стр.1, корпус А;01.09.2020 0:00:00;30.06.2023 0:00:00
ООО СЗ СТРОЙ-РЕСУРС;RDM_2788059739;Московская область, городской округ Красногорск, вблизи п. Светлые Горы, жилой дом поз. 18, кадастровый номер 50:11:0020218:1217;31.03.2023 0:00:00;
ООО Специализированный застройщик Квартал-инвестстрой;RDM_0604484873;Российская Федерация, Московская область, г.о. Подольск, вблизи дер. Борисовка дом 14;31.12.2020 0:00:00;31.12.2022 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СОЛСТРОЙ;RDM_0445402908;Московская область, г. Солнечногорск, ул. Крупской, дом 1;30.09.2022 0:00:00;
ООО Специализированный застройщик Дивное-Сити ;RDM_4067763490;Московская область, Ленинский район, сельское поселение Совхоз им. Ленина, д. Ближние Прудищи, уч. 68, корпус 16;30.06.2021 0:00:00;30.06.2022 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕГСК-НЕДВИЖИМОСТЬ;RDM_1603311670;Свердловская область, г. Екатеринбург, бульвар Петра Кожемяко, 2 этап строительства, жилой дом (№ 4 по ПЗУ), на з/у с кадастровым номером 66:41:0000000:102854;30.06.2021 0:00:00;
АО МОСОТДЕЛСТРОЙ № 1;RDM_0230260727;г. Москва, ЮАО, ул. 6-я Радиальная, вл.7, корпус 30;;31.05.2023 0:00:00
ООО ПЕРЕДЕЛКИНО БЛИЖНЕЕ;;г. Москва, п. Внуковское, д. Рассказовка, уч.№ 13/2, корпус 6;;
ООО Специализированный застройщик СПАРТАК;RDM_3705631394;г. Москва, ЮЗАО, Ясенево, Новоясеневский пр., вл.3;31.12.2021 0:00:00;31.03.2023 0:00:00
ООО Специализированный Застройщик КРАСНОДАРДОМСТРОЙ;RDM_0603910133;Российская Федерация, Краснодарский край, город Краснодар, Прикубанский внутригородской округ, проезд 1-й Лиговский, ЛИТЕР 2, Этап 2;30.06.2022 0:00:00;30.09.2022 0:00:00
ООО Восточный;RDM_0120168579;Московская область, г. Котельники, мкр. Опытное поле, вл. 10/1, вл. 10/2 (2 Этап строительства), корпус 8, корпус 9, корпус 10, корпус 11.2, корпус  12.2;30.06.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК БЕЛСТРОЙ;RDM_1932385316;г. Москва, ул. Краснобогатырская, вл. 38, секция 1;30.09.2022 0:00:00;30.06.2023 0:00:00
ЗАО ВЕКТОРСТРОЙФИНАНС;RDM_3079913872;г. Москва, Рязанский пр-т, корпус 23 (5-я очередь строительства);30.06.2023 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ПЕРВЫЙ КВАРТАЛ;RDM_2737216776;Челябинская область, город Челябинск, Советский район, ул. Монакова, 1, жилой дом № 39.2 (стр.) – 9 этап;30.03.2022 0:00:00;
АО Лобачевского 120;RDM_0370813470;г. Москва, ЗАО, район Раменки, ул. Лобачевского, вл.120, корпус 3;31.12.2021 0:00:00;31.12.2021 0:00:00
ООО СЗ СТРОЙНАФТА;RDM_1474176435;г. Москва, п. Сосенское, на земельных участках с кадастровым номером 50:21:0120303:1055, 50:21:0120303:1056, 50:21:0120303:1057;30.06.2022 0:00:00;30.09.2022 0:00:00
АО Затонское;464;Московская область, Красногорский район, вблизи города Красногорска, кад. номер 50:11:0010104:595, корп. 18;30.06.2021 0:00:00;30.09.2022 0:00:00
ООО Аккордъ;RDM_1665368240;г.Москва, ЦАО, район Якиманка, ул.Донская, вл.14, корп.1, корпус В;31.03.2020 0:00:00;31.03.2021 0:00:00
АО Затонское;464;Московская область, Красногорский район, вблизи города Красногорска, корп. 20;30.06.2021 0:00:00;30.06.2023 0:00:00
ООО СЗ Самолет-Путилково;RDM_0724097977;Московская область, городской округ Красногорск, вблизи деревни Путилково, жилой дом № 4;30.09.2020 0:00:00;30.09.2021 0:00:00
ООО Опалиха-Сити;RDM_3869717060;"Московская область, Красногорский район, г. Красногорск,\n мкр. Опалиха. ""ЖК Серебрянка"", 2 этап, корп. 5";30.03.2021 0:00:00;30.09.2022 0:00:00
ООО СЗ Дубининская 59;RDM_3312180712;г. Москва, ЮАО, Даниловский, ул. Дубининская, вл. 59-69, корпус 8;31.12.2023 0:00:00;
ООО СЗ СТРОЙНАФТА;RDM_1474176435;г. Москва, п. Сосенское, на земельных участках с кадастровым номером 50:21:0120303:1055, 50:21:0120303:1056, 50:21:0120303:1057;30.06.2022 0:00:00;30.09.2022 0:00:00
ООО СЗ Старопетровский;RDM_0413782514;г. Москва, Старопетровский пр., вл. 8, корпус 3;30.09.2021 0:00:00;31.12.2021 0:00:00
ООО Тервуд;RDM_0173915292;г.Москва, ЗАО, район Очаково-Матвеевское, ул. Нежинская, владение 5  ;31.12.2020 0:00:00;31.12.2021 0:00:00
АО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВОЛЖСКИЙ ПАРК;RDM_2664203705;г. Москва, ЮВАО, Текстильщики, 1-й Грайвороновский проезд, вл. 3, корпус 2.1;31.12.2022 0:00:00;
АО МОСОТДЕЛСТРОЙ № 1;RDM_0230260727;г. Москва, ЮАО, ул. 6-я Радиальная, вл. 7, корпус 28/29;;31.05.2023 0:00:00
